abactin,actin
abnorm,normal
abocclus,occlus
abson,sound
apolit,polit
asexu,sexual
atheist,religi
atyp,typic
disaccord,accord
disaffection,affection
disagre,agre
disagre,agreeabl
disagre,agre
disanalog,analog
disangel,angel
disbodi,embodi
discohes,cohes
discolor,color
discolour,colour
discommodi,conveni
discompassion,compassion
disconform,conform
disconnect,connect
disconson,conson
discont,satisfi
discontinu,conti
disconveni,conveni
discourt,courteou
discredul,credul
disembodi,embodi
disgod,god
disidentifi,identifi
disinhabit,inhabit
disinhabit,inhabit
disinterest,interest
disintermedi,intermedi
disintr,intric
dispassion,passion
dispunish,punish
disrespect,respect
dissatisfi,satisfi
dissatisfi,satisfi
dissymmetr,symmetr
dysaemia,aemia
dysaesthesia,aesthesia
dysaesthesia,aesthesia
dysangiogenesi,angiogenesi
dysangiogenesi,angiogenesi
dysautonomia,autonomia
dysbacteriosi,bacteriosi
dysbacteriosi,bacteriosi
dysbalanc,balanc
dysbalanc,balanc
dyscognit,cognit
dyscognit,cognit
dysconnect,connect
dysconnect,connect
dyscontrol,control
dyscontrol,control
dyscoordin,coordin
dyserythropoiet,erythropoiet
dysexecut,execut
dysexpress,express
dysfluenc,fluenci
dysfluent,fluent
dysfunct,function
dysgenesi,genesi
dysgenet,genet
dysgen,genic
dysglycaemia,glycaemia
dysgranulopoiesi,granulopoiesi
dysgraphia,graphia
dyslamin,lamin
dyslogist,logist
dysmatur,matur
dysmatur,matur
dysmenorrhea,menorrhea
dysmetabol,metabol
dysmorphogenesi,morphogenesi
dysmorpholog,morpholog
dysmotil,motil
dysphasia,phasia
dysplasia,plasia
dysregulatem,regul
dysregul,regul
dysrhythm,rhythmic
dyssynchron,synchron
dyssynchron,synchron
dyssynchroni,synchroni
dysthanasia,thanasia
dysthyroid,thyroid
dysthyroid,thyroid
dystrophi,trophi
dysventil,ventil
dysã¦sthesia,ã¦sthesia
dysã¦sthesiã¦,ã¦sthesiã¦
illaps,capabl of laps or error
illevi,leviabl
illimit,limit
illimit,limit
illimit,limit
illiquid,liquid
illiteraci,literaci
illiter,liter
illiter,liter
illog,logic
illog,loguic
illor,loric
illor,loric
immal,malleabl
immargin,margin
immarti,martial
immatch,matchabl
immateri,materi
immeasur,measur
immeasur,measur
immechan,mechan
immelodi,melodi
immensur,limit
immerit,merit
immetr,metric
immitig,mitig
immix,mixabl
immix,mix
immoder,oder
immoder,moder
immor,moral
immoriger,civil
immov,movabl
immus,music
immut,mutabl
impalat,palat
impalp,palpabl
imparti,partial
impart,divis
imperceiv,perceiv
imperceiv,perceiv
imperfect,perfect
imperfect,perfect
imperish,perish
imperman,perman
impermiss,permiss
impermiss,permiss
impersuad,persuad
impersuas,ersuas
imperturb,perturb
impierc,pierceabl
implaus,plausibl
implead,pleadabl
impleas,pleas
impliabl,pliabl
implum,plume
impolit,polit
imporos,poros
impor,porou
impredict,predict
imprescript,prescript
imprevent,prevent
improb,probabl
improb,probiti
improfit,profit
improgress,progress
improlif,prolif
imprompt,prompt
impropiti,propiti
improportion,proportion
improportion,proportion
improsper,prosper
improvid,expect -not
imprud,prudenc
imprud,prudent
impunct,punctat
impunctu,punctual
imputresc,putresc
inabl,abl
inabstin,abstin
inaccept,accept
inaccord,accord
inacquaint,acquaint
inact,activ
inadequ,adequ
inadher,adher
inadhes,adhes
inadventur,adventur
inadvert,intension
inadvis,advis
inadvis,advis
inaesthet,aesthet
inaff,affabl
inaid,aidabl
inalter,alter
inami,amiabl
inamic,amic
inamov,amov
inangular,angular
inanim,anim
inanim,anim
inanim,anim
inappar,appar
inappreci,appreci
inapprehens,apprehens
inapprehens,apprehens
inappropri,appropri
inappropri,appropri
inar,arabl
inart,art
inarticul,articul
inarticul,articul
inarticul,articul
inartifici,artifici
inaud,audibl
inbend,bend
inbind,bind
inblend,blend
incap,capabl
incapaci,capaci
incensur,censur
incertain,certain
incircumspect,circumspect
incivil,civil
incivil,civil
incoerc,coercibl
incogit,cogit
incoher,coher
incoher,coher
incohes,cohes
incombin,combin
incom,comiti
incommixtur,be mix
incommodi,comfort
incommun,commun
incommun,commun
incommun,commun
incommut,commut
incompact,compact
incompass,compass
incompassion,compassion
incomplet,complet
incomplex,complex
incompli,compliabl
incompli,compliant
incompos,compos
incompress,compress
incompress,compress
incomput,comput
inconcern,concern
inconclud,conclud
inconcluss,concluss
inconcoct,concoct
inconcur,concur
incondition,condition
inconduc,conduc
inconfid,confid
inconform,conform
inconfus,confus
inconfus,confus
incongeni,congeni
inconnect,connect
inconnect,connect
inconsci,consciou
inconsecut,consecut
inconsequenti,consequenti
inconsider,consider
inconsol,consol
inconst,constanc
inconst,constant.
inconstaunt,constaunt
inconstru,construabl
inconsum,consum
incontest,contest
incontrovert,controvert
inconvers,convers
inconvers,convers
inconvert,convert
inconvinc,convinc
incoordin,coordin
incorrespond,correspond
incorrespond,correspond
incorrupt,corrupt
incorrupt,corrupt
incrystalliz,crystalliz
incultiv,cultiv
incultiv,cultiv
incurtain,curtain
incurv,curv
incut,cut
indamag,damag
indecidu,decidu
indefect,defect
indefect,defect
indefens,defens
indefens,defens
indefici,defici
indefin,defin
indehisc,dehisc
indelect,delect
indepos,depos
indescript,descript
indetect,detect
indeterminist,determinist
indevirgin,devirgin
indevot,devot
indexter,dexter
indifferenti,differenti
indigest,digest
indigest,digest
indilatori,dilatori
indiminish,diminish
indirect,direct
indirect,direct
indirectli,directli
indisciplin,disciplin
indisciplin,disciplin
indiscover,discover
indiscreet,discreet
indiscrimin,discrimin
indiscuss,discuss
indiscuss,discuss
indispens,dispens
indispers,dispers
indispos,dispos
indisput,disput
indisput,disput
indissolv,dissolv
indistil,distil
indistinct,distinct
indistinct,distinct
indistinct,distinct
indistinguish,distinguish
indistinguish,distinguish
indistinguish,distinguish
indisturb,disturb
indivert,divert
individ,divid
indivin,divin
indrench,drench
indubiu,dubiu
inductil,ductil
ineffac,effac
ineffect,effect
ineffectual,effectual
ineffervesc,effervesc
ineffervesc,effervesc
ineffici,effici
ineffici,effici
inelast,elast
ineloqu,eloqu
inelud,elud
inembryon,embryon
inenerget,energet
inenumer,enumer
inequ,equabl
inequ,equal
inequidist,equidist
inequ,equiti
inequivalv,equivalv
inerrat,errat
inescap,escap
inessenti,essenti
iness,essiv
inesthet,esthet
inevalu,evalu
inevid,evid
inevid,evid
inexact,exact
inexcit,excit
inexclud,exclud
inexecut,execut
inexecut,execut
inexert,exert
inexhaust,exhaust
inexhaust,exhaust
inexist,exist
inexist,exist
inexorcis,exorcis
inexpans,expans
inexpect,expect
inexpect,expect
