,file,len,id,reason,section,start,type,meddra_llt,meddra_llt_id,meddra_pt,meddra_pt_id,description
0,impavido,4,M2,general_term,S1,1518,NonOSE_AE,Died in sleep,10012771,Death,10011906,"General terms or non-specific text such as broad categories (e.g., MedDRA system organ class) used to introdue AEs or text describe an outcome (e.g., death) rather than an AE. These are not of interest."
1,impavido,4,M3,general_term,S1,1574,NonOSE_AE,Died in sleep,10012771,Death,10011906,"General terms or non-specific text such as broad categories (e.g., MedDRA system organ class) used to introdue AEs or text describe an outcome (e.g., death) rather than an AE. These are not of interest."
2,impavido,26,M4,general_term,S1,2452,NonOSE_AE,Disorder gastrointestinal,10013225,Gastrointestinal disorder,10017944,"General terms or non-specific text such as broad categories (e.g., MedDRA system organ class) used to introdue AEs or text describe an outcome (e.g., death) rather than an AE. These are not of interest."
3,impavido,17,M5,general_term,S1,2827,NonOSE_AE,Ill-defined disorder,10061520,Ill-defined disorder,10061520,"General terms or non-specific text such as broad categories (e.g., MedDRA system organ class) used to introdue AEs or text describe an outcome (e.g., death) rather than an AE. These are not of interest."
4,impavido,34,M6,general_term,S1,3077,NonOSE_AE,Metabolic disorder,10058097,Metabolic disorder,10058097,"General terms or non-specific text such as broad categories (e.g., MedDRA system organ class) used to introdue AEs or text describe an outcome (e.g., death) rather than an AE. These are not of interest."
5,impavido,27,M9,general_term,S1,5184,NonOSE_AE,Disorder ear,10013214,Ear disorder,10014004,"General terms or non-specific text such as broad categories (e.g., MedDRA system organ class) used to introdue AEs or text describe an outcome (e.g., death) rather than an AE. These are not of interest."
6,impavido,26,M10,general_term,S1,5434,NonOSE_AE,Disorder gastrointestinal,10013225,Gastrointestinal disorder,10017944,"General terms or non-specific text such as broad categories (e.g., MedDRA system organ class) used to introdue AEs or text describe an outcome (e.g., death) rather than an AE. These are not of interest."
7,impavido,41,M11,general_term,S1,6059,NonOSE_AE,Ill-defined disorder,10061520,Ill-defined disorder,10061520,"General terms or non-specific text such as broad categories (e.g., MedDRA system organ class) used to introdue AEs or text describe an outcome (e.g., death) rather than an AE. These are not of interest."
8,impavido,24,M12,general_term,S1,6434,NonOSE_AE,Nervous system disorder,10029202,Neurological symptom,10060860,"General terms or non-specific text such as broad categories (e.g., MedDRA system organ class) used to introdue AEs or text describe an outcome (e.g., death) rather than an AE. These are not of interest."
9,impavido,38,M13,general_term,S1,6934,NonOSE_AE,Other disorders of skin and subcutaneous tissue,10032001,Skin disorder,10040831,"General terms or non-specific text such as broad categories (e.g., MedDRA system organ class) used to introdue AEs or text describe an outcome (e.g., death) rather than an AE. These are not of interest."
10,impavido,26,M14,general_term,S1,7466,NonOSE_AE,Disorder gastrointestinal,10013225,Gastrointestinal disorder,10017944,"General terms or non-specific text such as broad categories (e.g., MedDRA system organ class) used to introdue AEs or text describe an outcome (e.g., death) rather than an AE. These are not of interest."
11,impavido,27,M15,general_term,S1,8091,NonOSE_AE,Infection,10021789,Infection,10021789,"General terms or non-specific text such as broad categories (e.g., MedDRA system organ class) used to introdue AEs or text describe an outcome (e.g., death) rather than an AE. These are not of interest."
12,impavido,34,M16,general_term,S1,8341,NonOSE_AE,Metabolic disorder,10058097,Metabolic disorder,10058097,"General terms or non-specific text such as broad categories (e.g., MedDRA system organ class) used to introdue AEs or text describe an outcome (e.g., death) rather than an AE. These are not of interest."
13,impavido,24,M17,general_term,S1,8591,NonOSE_AE,Nervous system disorder,10029202,Neurological symptom,10060860,"General terms or non-specific text such as broad categories (e.g., MedDRA system organ class) used to introdue AEs or text describe an outcome (e.g., death) rather than an AE. These are not of interest."
14,impavido,38,M18,general_term,S1,8841,NonOSE_AE,Other disorders of skin and subcutaneous tissue,10032001,Skin disorder,10040831,"General terms or non-specific text such as broad categories (e.g., MedDRA system organ class) used to introdue AEs or text describe an outcome (e.g., death) rather than an AE. These are not of interest."
15,impavido,30,M21,general_term,S1,10443,NonOSE_AE,Blood disorder,10061590,Haematology test abnormal,10057755,"General terms or non-specific text such as broad categories (e.g., MedDRA system organ class) used to introdue AEs or text describe an outcome (e.g., death) rather than an AE. These are not of interest."
16,impavido,26,M22,general_term,S1,10517,NonOSE_AE,Disorder gastrointestinal,10013225,Gastrointestinal disorder,10017944,"General terms or non-specific text such as broad categories (e.g., MedDRA system organ class) used to introdue AEs or text describe an outcome (e.g., death) rather than an AE. These are not of interest."
17,impavido,17,M23,general_term,S1,10560,NonOSE_AE,Ill-defined disorder,10061520,Ill-defined disorder,10061520,"General terms or non-specific text such as broad categories (e.g., MedDRA system organ class) used to introdue AEs or text describe an outcome (e.g., death) rather than an AE. These are not of interest."
18,impavido,23,M24,general_term,S1,10623,NonOSE_AE,Hepatobiliary disease,10062000,Hepatobiliary disease,10062000,"General terms or non-specific text such as broad categories (e.g., MedDRA system organ class) used to introdue AEs or text describe an outcome (e.g., death) rather than an AE. These are not of interest."
19,impavido,24,M25,general_term,S1,10665,NonOSE_AE,Nervous system disorder,10029202,Neurological symptom,10060860,"General terms or non-specific text such as broad categories (e.g., MedDRA system organ class) used to introdue AEs or text describe an outcome (e.g., death) rather than an AE. These are not of interest."
