,file,sent_id,sent_start,sent_end,sentence,nonoseaeaeonlyasinstruction,nonoseaegeneralterm,notaecandidatepreexistingconditionorriskfactor,notaecandidateindication,nonoseaemanifestationorcomplication,nonoseaeaefromdruginteraction,nonoseaeaeratelteqplacebo,nonoseaenegation,nonoseaeaeanimal,nonoseaeodorwithdrawal,nonoseaeaefromofflabel,notaecandidatecontraindication,nonoseaeaeforanotherdruginclass,notaecandidateother,nonoseaeother
0,carboplatin,0,0,49,"['  ADVERSE REACTIONS\n', '\n', '  For a comparison of toxicities when carboplatin or cisplatin was given in combination with cyclophosphamide, see    CLINICAL STUDIES, Use with Cyclophosphamide for Initial Treatment of  notaecandidateindication  Comparative Toxicity  .  ",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,carboplatin,1,49,155,"\n', '\n', ' ADVERSE EXPERIENCES IN PATIENTS WITH OVARIAN CANCER \n', '                                                    First Line    Combination Therapy   [note: Use with Cyclophosphamide for Initial Treatment of  notaecandidateindication  Data are based on the experience of 393 patients with  notaecandidateindication (regardless of baseline status) who received initial combination therapy with carboplatin and cyclophosphamide in two randomized controlled studies conducted by SWOG and NCIC (see CLINICAL STUDIES).Combination with cyclophosphamide as well as duration of treatment may be responsible for the differences that can be noted in the adverse experience table.]   ",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2,carboplatin,2,155,157,Percent      ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,carboplatin,3,157,163,Second Line    Single Agent    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,carboplatin,4,163,165,Therapy   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,carboplatin,5,165,168,[note:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,carboplatin,6,168,179,Single Agent Use for the Secondary Treatment of Ovarian Cancer:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,carboplatin,7,179,207,Data are based on the experience of 553 patients with previously treated ovarian carcinoma (regardless of baseline status) who received single agent carboplatin.]   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,carboplatin,8,207,209,Percent     ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,carboplatin,9,209,231,"\n', '  \n', '   nonoseaegeneralterm                                                                            \n', '   oselabeledaefromdruguse      < 100,000/mm3              ",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10,carboplatin,10,231,233,66                   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,carboplatin,11,233,235,62               ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,carboplatin,12,235,243,"\n', '                        < 50,000/mm3               ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,carboplatin,13,243,254,"33                   35               \n', '   oselabeledaefromdruguse           ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,carboplatin,14,254,273,"< 2,000 cells/mm3          96                   67               \n', '                        < 1,000 cells/",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
