_id,batch,concept_code,concept_code_system,end,experiencer,inserted_date,job_id,negation,nlpql_feature,owner,phenotype_final,pipeline_id,pipeline_type,report_date,report_id,report_type,section,sentence,solr_id,source,start,subject,temporality,term
5c7430378625dd02b7867f88,560,,,124,Patient,13:11.7,2137,Affirmed,hasRegimenTerm,claritynlp,FALSE,4102,TermFinder,2018-10-25T00:00:00Z,ct_inc_505251,Clinical Trial Inclusion Criteria,UNKNOWN,Menarche >2year - Subject treated by chemotherapy-induced ovarian failure including alkylant agents (except less than 8 ABVD),ct_inc_505251,AACT,120,NCT01160315,Recent,ABVD
5c7430378625dd02b7867f89,560,,,48,Patient,13:11.9,2137,Affirmed,hasRegimenTerm,claritynlp,FALSE,4102,TermFinder,2018-10-25T00:00:00Z,ct_exc_495191,Clinical Trial Exclusion Criteria,UNKNOWN,lower than 60 points - Incapable to fulfill ABVD - Patients with cognitive deterioration - Patients with diagnosis of ictus in the last 6 months,ct_exc_495191,AACT,44,NCT01291966,Recent,ABVD
5c7430388625dd02b7867f8a,560,,,125,Patient,13:12.5,2137,Affirmed,hasRegimenTerm,claritynlp,FALSE,4102,TermFinder,2018-10-25T00:00:00Z,ct_inc_486815,Clinical Trial Inclusion Criteria,UNKNOWN,"All subjects must have a confirmed diagnosis of malignancy and receiving highly emetogenic chemotherapy first time (VAC, ABVD and CDDP/Doxorubicin) - Age group 5-18 years with weight between 15-65 kg - Children/adolescents and their caregiver who can understand Hindi or English and willing to participate in the study (with written informed consent)",ct_inc_486815,AACT,121,NCT01402024,Recent,ABVD
5c7430388625dd02b7867f8b,560,,,21,Patient,13:12.5,2137,Affirmed,hasRegimenTerm,claritynlp,FALSE,4102,TermFinder,2018-10-25T00:00:00Z,ct_inc_486975,Clinical Trial Inclusion Criteria,UNKNOWN,- Treatment with ABVD x 4 (early stage) - Consolidation Radiotherapy on bulky lesion,ct_inc_486975,AACT,17,NCT01399931,Recent,ABVD
5c7430428625dd0334867f87,400,,,4,Patient,13:22.4,2137,Affirmed,hasRegimenTerm,claritynlp,FALSE,4102,TermFinder,2018-10-25T00:00:00Z,ct_inc_419623,Clinical Trial Inclusion Criteria,UNKNOWN,ABVD,ct_inc_419623,AACT,0,NCT02280993,Recent,ABVD
5c74304d8625dd0381867f9e,230,,,188,Patient,13:33.3,2137,Affirmed,hasRegimenTerm,claritynlp,FALSE,4102,TermFinder,2018-10-25T00:00:00Z,ct_inc_478897,Clinical Trial Inclusion Criteria,UNKNOWN,#NAME?,ct_inc_478897,AACT,184,NCT01505712,Recent,ABVD
5c74304d8625dd0381867f9f,230,,,50,Patient,13:33.3,2137,Affirmed,hasRegimenTerm,claritynlp,FALSE,4102,TermFinder,2018-10-25T00:00:00Z,ct_inc_478897,Clinical Trial Inclusion Criteria,UNKNOWN,Patients with advanced-stage cHL treated with ABVD at the British Columbia Cancer Agency (BCCA),ct_inc_478897,AACT,46,NCT01505712,Recent,ABVD
5c74304d8625dd0381867fa2,230,,,89,Patient,13:33.9,2137,Affirmed,hasRegimenTerm,claritynlp,FALSE,4102,TermFinder,2018-10-25T00:00:00Z,ct_inc_559601,Clinical Trial Inclusion Criteria,UNKNOWN,"18 years - Received and failed potentially curative chemotherapeutic regimens (e.g., ABVD, Stanford V, or BEACOPP) - Relapsed following autologous bone marrow transplantation (BMT), or are ineligible, or refused BMT - Completed radiotherapy, chemotherapy, and/or treatment with other investigational agents at least 3 weeks prior to study entry - Completed autologous BMT (if received) at least 3 months prior to study entry; completed allogeneic BMT (if received); at least 6 months prior to study entry - Eastern Cooperative Oncology Group (ECOG) status of <2 - Life expectancy of >3 months -",ct_inc_559601,AACT,85,NCT00441818,Historical,ABVD
5c7430538625dd03c7867f95,0,,,6,Patient,13:39.2,2137,Affirmed,hasRegimenTerm,claritynlp,FALSE,4102,TermFinder,2018-10-25T00:00:00Z,ct_inc_392418,Clinical Trial Inclusion Criteria,UNKNOWN,- ABVD - ICE R - 7+3 - Conditioning therapy for stem cell transplantation: - BEAM - Bu/Cy ATG - Bu/Flu ATG - FluCy ATG - FluCy + TBI - BuMel - FluBuCy - Melphalan - Etoposide + TBI - Cyclophosphamide + TBI,ct_inc_392418,AACT,2,NCT02635984,Recent,ABVD
5c74305a8625dd0426867f8c,660,,,92,Patient,13:46.0,2137,Affirmed,hasRegimenTerm,claritynlp,FALSE,4102,TermFinder,2018-10-25T00:00:00Z,ct_inc_592770,Clinical Trial Inclusion Criteria,UNKNOWN,- Previously untreated Hodgkin's disease patients who are scheduled to receive standard ABVD chemo.-,ct_inc_592770,AACT,88,NCT00038558,Recent,ABVD
5c74305a8625dd0426867f8d,660,,,381,Patient,13:46.6,2137,Negated,hasRegimenTerm,claritynlp,FALSE,4102,TermFinder,2018-10-25T00:00:00Z,ct_inc_524904,Clinical Trial Inclusion Criteria,UNKNOWN,Any tumor mass measurable in two dimensions and > 2 cm is acceptable (or 1.5 cm if 0.5 cm slices are used as in spiral CT scans) - Age 18 - Patients must have at least one hypermetabolic lesion identifiable on initial PET scan - LVEF by ECHO or MUGA within institutional normal limits - Initial laboratory data should be compatible with the administration of standard doses of ABVD chemotherapy,ct_inc_524904,AACT,377,NCT00901303,Hypothetical,ABVD
5c74305e8625dd0457867f8b,70,,,107,Patient,13:50.6,2137,Affirmed,hasRegimenTerm,claritynlp,FALSE,4102,TermFinder,2018-10-25T00:00:00Z,ct_inc_448591,Clinical Trial Inclusion Criteria,UNKNOWN,"Be designated to receive cytotoxic chemotherapy including one or more of the following agents: R-CHOP, ABVD, Liposomal doxorubicin (Caelyx) or liposomal daunorubicin (Daunoxome) or Paclitaxel",ct_inc_448591,AACT,103,NCT01902693,Recent,ABVD
5c7430618625dd043c867f9b,50,,,58,Patient,13:53.1,2137,Affirmed,hasRegimenTerm,claritynlp,FALSE,4102,TermFinder,2018-10-25T00:00:00Z,ct_inc_587871,Clinical Trial Inclusion Criteria,UNKNOWN,"Doxorubicin, bleomycin, vinblastine, and dacarbazine (ABVD) MOPP/ABV Stanford 5 OR Refractory to a second line regimen, such as: Mesna, ifosfamide, mitoxantrone, and etoposide (MINE) Etoposide, methylprednisolone, high dose cytarabine, and cisplatin",ct_inc_587871,AACT,54,NCT00005595,Recent,ABVD
5c7430628625dd0452867f97,40,,,165,Patient,13:54.2,2137,Negated,hasRegimenTerm,claritynlp,FALSE,4102,TermFinder,2018-10-25T00:00:00Z,ct_inc_590819,Clinical Trial Inclusion Criteria,UNKNOWN,"- Histologically confirmed Hodgkin's lymphoma - Early or late first relapse - Complete or partial remission for at least 3 months after completion of prior COPP/ABVD, COPP/ABV/IMEP, MOPP/ABV, ABVD, BEACOPP, or other polychemotherapy regimen with or withou",ct_inc_590819,AACT,161,NCT00025636,Historical,ABVD
5c7430668625dd0489867f87,1260,,,107,Patient,13:58.5,2137,Negated,hasRegimenTerm,claritynlp,FALSE,4102,TermFinder,2018-10-25T00:00:00Z,ct_exc_481760,Clinical Trial Exclusion Criteria,UNKNOWN,"2.1.2.1 Patients who have relapsed from their initial Adriamycin, bleomycin, vinblastine, dacarbazine) ABVD or similar standard treatment regimen and have not received any other chemotherapy or salvage systemic treatment.2.1.2.2 Patients that have received prior radioimmunotherapy.2.1.2.",ct_exc_481760,AACT,103,NCT01468311,Historical,ABVD
5c7430678625dd04b5867f86,860,,,43,Patient,13:59.7,2137,Affirmed,hasRegimenTerm,claritynlp,FALSE,4102,TermFinder,2018-10-25T00:00:00Z,ct_inc_361894,Clinical Trial Inclusion Criteria,UNKNOWN,OR if their PET scan after 2 cycles of ABVD is positive,ct_inc_361894,AACT,39,NCT03033914,Recent,ABVD
5c7430678625dd04b5867f87,860,,,61,Patient,13:59.7,2137,Affirmed,hasRegimenTerm,claritynlp,FALSE,4102,TermFinder,2018-10-25T00:00:00Z,ct_inc_361894,Clinical Trial Inclusion Criteria,UNKNOWN,Patients may enroll anytime within the first 2 cycles of ABVD or after PET-2.- Cohort B overview: Patients 60 or older with untreated classical Hodgkin lymphoma (regardless of stage) will be eligible for cohort B.The following eligibility criteria applies to both cohort A and B except when stated otherwise: - Histologic diagnosis of classical Hodgkin lymphoma - FDG-avid disease by FDG-PET/CT - Ann Arbor Stage III or IV disease (Cohort A only) - WOCBP must have a negative serum or urine pregnancy test (minimum sensitivity 25 IU/L or equivalent units of HCG) within 24 hours prior to the start of study drug.,ct_inc_361894,AACT,57,NCT03033914,Historical,ABVD
5c7430678625dd049f867f89,960,,,196,Patient,13:59.7,2137,Negated,hasRegimenTerm,claritynlp,FALSE,4102,TermFinder,2018-10-25T00:00:00Z,ct_exc_473305,Clinical Trial Exclusion Criteria,UNKNOWN,"Cardiac disease with left ventricular ejection fraction of less than 45% - Known hypersensitivity to any excipient contained in the drug formulation of brentuximab vedotin or any component of ABVD - Medical or other condition that would represent an inappropriate risk to the patient or would likely compromise achievement of the primary study objective - Other active malignancies with the exception of: - Non-melanoma skin cancer - Cervical carcinoma in situ without evidence of disease - Prostatic intraepithelial neoplasia without evidence of prostate cancer - Pregnant or lactating women Prior to Day 1 of brentuximab vedotin, please verify the patient does not meet the criteria below: - Symptomatic pulmonary disease currently requiring regular medication including but not restricted to bronchodilators",ct_exc_473305,AACT,192,NCT01578967,Historical,ABVD
5c7430688625dd04c0867f91,30,,,242,Patient,14:00.2,2137,Negated,hasRegimenTerm,claritynlp,FALSE,4102,TermFinder,2018-10-25T00:00:00Z,ct_inc_344464,Clinical Trial Inclusion Criteria,UNKNOWN,"Inclusion Criteria: - Complete response of lymphoma (Cheson criteria 2007) after initial treatment - Malin lymphoma (Hodgkin or not) treated with anthracyclines for at least 6 cycles : Adriamycin, Bleomycin, Vinblastine, and Dacarbazine (ABVD) or BEACOPP, Cyclophosphamide, hydroxydaunomycin, Oncovin, and prednisone (CHOP) et Rituximab (R-CHOP), miniCHOP et RminiCHOP, RACVBP having received or not an intensification with autologous hematopoietic stem cell transplantation in first-line - Registered the consent to be included in this study",ct_inc_344464,AACT,238,NCT03260855,Recent,ABVD
5c7430688625dd04b5867f88,860,,,150,Patient,14:00.6,2137,Affirmed,hasRegimenTerm,claritynlp,FALSE,4102,TermFinder,2018-10-25T00:00:00Z,ct_inc_473305,Clinical Trial Inclusion Criteria,UNKNOWN,"x ULN - Serum creatinine 2.0 mg/dL - Negative serum human chorionic gonadotropin (-hCG) pregnancy test within 72 hours of day 1 of treatment with ABVD in women of child-bearing potential - Females of childbearing potential, and males who have partners of childbearing potential must agree to use an effective contraceptive method during the study and for 6 months following the last dose of brentuximab vedotin.",ct_inc_473305,AACT,146,NCT01578967,Recent,ABVD
5c7430688625dd04b5867f89,860,,,75,Patient,14:00.6,2137,Negated,hasRegimenTerm,claritynlp,FALSE,4102,TermFinder,2018-10-25T00:00:00Z,ct_inc_473305,Clinical Trial Inclusion Criteria,UNKNOWN,#NAME?,ct_inc_473305,AACT,71,NCT01578967,Recent,ABVD
5c74306c8625dd04cb867f98,260,,,117,Patient,14:04.4,2137,Affirmed,hasRegimenTerm,claritynlp,FALSE,4102,TermFinder,2018-10-25T00:00:00Z,ct_inc_504535,Clinical Trial Inclusion Criteria,UNKNOWN,"Patients must have failed (relapsed or refractory) front-line standard anthracycline-containing regimen, such as ABVD, Stanford V, or BEACOPP.",ct_inc_504535,AACT,113,NCT01169636,Recent,ABVD
5c74306c8625dd04cb867f9b,260,,,97,Patient,14:04.8,2137,Affirmed,hasRegimenTerm,claritynlp,FALSE,4102,TermFinder,2018-10-25T00:00:00Z,ct_inc_519899,Clinical Trial Inclusion Criteria,UNKNOWN,"Patients must have received a front-line standard anthracycline- containing regimen, such as ABVD, Stanford V, or BEACOPP.",ct_inc_519899,AACT,93,NCT00967369,Recent,ABVD
