concept_class_id	concept_class_name	concept_class_concept_id
Qualifier Value	Qualifier Value	44819021
Quality Metric	Quality Metric	44819092
Race	Race	44819030
Read	Read	44819273
Record Artifact	Record Artifact	44818999
Relationship	OMOP Relationship	44819274
Respiratory Disease	Diseases of the respiratory system	44819176
Revenue Code	Revenue Code	44819075
Skin Disease	Diseases of the skin and subcutaneous tissue	44819178
SMQ	Standardized Meddra Query	44819060
SOC	System Organ Class	44819037
Social Context	Social Context	44819022
Soft Tissue Disease	Diseases of the musculoskeletal system and connective tissue	44819179
Special Code	Codes for special purposes	44819236
Special Concept	Special Concept	44819046
Specialty	Specialty	44819016
Specimen	Specimen	44819055
SPL	SPL	44819276
Staging / Scales	Staging And Scales	44819010
Standard Unit	Standard Unit	44819073
Substance	Substance	44819050
Symptom	Symptom	44819184
Therap Subgroup	2nd Level - Therapeutic Subgroup	44819088
Therapeutic Class	Therapeutic Class	44818995
Undefined	Undefined	44819044
Unit	Unit	44819072
VA Class	VA Class	44819277
VA Product	VA Product	44819278
Visit	Visit	44819023
Visit Type	Visit Type	44819039
Vocabulary	OMOP Vocabulary	44819279
Navi Concept	Navigational Concept	45754795
HCPCS Modifier	HCPCS Modifier	45754687
LOINC Class	LOINC Class	45754677
Lab Test	Laboratory Class	45754678
Clinical Observation	Clinical Class	45754679
Claims Attachment	Claims Attachments	45754680
Survey	Surveys	45754681
Answer	Answers	45754682
HCPCS Class	HCPCS Class	45754688
Inactive Concept	Inactive Concept	45754796
Linkage Concept	Linkage Concept	45754797
Link Assertion	Link Assertion	45754798
Linkage Assertion	Linkage Assertion	45754822
Vaccine	Human drug class Vaccine	45754855
Standard Allergenic	Human drug class Standardized Allergenic	45754856
Prescription Drug	Human drug class Human Prescription Drug	45754857
OTC Drug	Human drug class Human OTC Drug	45754858
Plasma Derivative	Human drug class Plasma Derivative	45754859
Non-Stand Allergenic	Human drug class Non-Standardized Allergenic	45754860
Cellular Therapy	Human drug class Cellular Therapy	45754861
Quant Clinical Drug	Quantified Clinical Drug	45754862
Quant Branded Drug	Quantified Branded Drug	45754863
3-dig billing code	3-digit billing code	45754868
4-dig billing code	4-digit billing code	45754869
5-dig billing code	5-digit billing code	45754870
4-dig billing E code	4-digit billing E code	45754871
5-dig billing E code	5-digit billing E code	45754872
3-dig billing V code	3-digit billing V code	45754873
4-dig billing V code	4-digit billing V code	45754874
5-dig billing V code	5-digit billing V code	45754875
3-dig nonbill code	3-digit non-billing code	45754876
4-dig nonbill code	4-digit non-billing code	45754877
3-dig nonbill V code	3-digit non-billing V code	45754878
3-dig nonbill E code	3-digit non-billing E code	45754879
4-dig nonbill E code	4-digit non-billing E code	45754880
Test	Test	45905711
Diagnosis	Diagnosis	45905712
Finding	Finding	45905713
Anatomy	Anatomy	45905714
Question	Question	45905715
LabSet	LabSet	45905716
MedSet	MedSet	45905717
ConvSet	ConvSet	45905718
Misc	Misc	45905719
Symptom/Finding	Symptom/Finding	45905721
Misc Order	Misc Order	45905722
Workflow	Workflow	45905723
State	State	45905724
Program	Program	45905725
Aggregate Meas	Aggregate Measurement	45905726
Indicator	Indicator	45905727
Monitoring	Health Care Monitoring Topics	45905728
Radiology	Radiology/Imaging Procedure	45905729
Frequency	Frequency	45905730
Units of Measure	Units of Measure	45905732
Drug form	Drug form	45905734
Medical supply	Medical supply	45905735
Food	Non-human drug class Food	46274137
Supplement	Non-human drug class Supplement	46274138
Cosmetic	Non-human drug class Cosmetic	46274139
Animal Drug	Non-human drug class Animal Drug	46277305
GCN_SEQNO	GCN_SEQNO	44819254
Supplier	Supplier: Manufacturer, Wholesaler	244
NFC	New Form Code	253
Dose Form Group	Dose Form Group	5023
Clinical Dose Group	Semantic Clinical Dose Group	5024
Branded Dose Group	Semantic Branded Dose Group	5025
3-dig billing E code	3-digit billing E code	46233669
Quant Branded Box	Quantified Branded Drug Box	200
Quant Clinical Box	Quantified Clinical Drug Box	201
Branded Drug Box	Branded Drug Box	202
Clinical Drug Box	Clinical Drug Box	203
Disinfectant	Non-human drug class Disinfectant	240
Imaging Material	Non-human drug class Imaging Material	241
ICD10PCS Hierarchy	ICD10PCS Hierarchical Code	259
ICD10PCS	ICD10PCS Code	260
Gemscript THIN	Encrypted Gemscript for the THIN database	5000
Precise Ingredient	Precise Ingredient	5022
Clinical Pack Box	Clinical Pack Box	5043
Branded Pack Box	Branded Pack Box	5044
Main Heading	Main Heading or Descriptor	46233638
Suppl Concept	Supplementary Concept	46233639
3-char nonbill code	3-character non-billing code	46233658
4-char nonbill code	4-character non-billing code	46233659
5-char nonbill code	5-character non-billing code	46233660
6-char nonbill code	6-character non-billing code	46233661
7-char nonbill code	7-character non-billing code	46233662
3-char billing code	3-character billing code	46233663
4-char billing code	4-character billing code	46233664
5-char billing code	5-character billing code	46233665
6-char billing code	6-character billing code	46233666
7-char billing code	7-character billing code	46233667
AMP	Actual Medicinal Product	5002
AMPP	Actual Medicinal Product Pack	5003
VMP	Virtual Medicinal Product	5004
VMPP	Virtual Medicinal Product Pack	5005
Form	dm+d Dose Form	5006
VTM	Virtual Therapeutic Moiety	5007
Cost Type	Cost Type	5030
Marketed Product	Marketed Product	250
AU Substance	AU Substance (AMT)	5034
AU Qualifier	AU Qualifier (AMT)	5035
Med Product Unit	Medicinal Product Unit of Use (AMT)	5036
