relationship_id	relationship_name	is_hierarchical	defines_ancestry	reverse_relationship_id	relationship_concept_id
Has time aspect	Has time aspect (SNOMED)	0	0	Time aspect of	44818774
Has specimen proc	Has specimen procedure (SNOMED)	0	0	Specimen proc of	44818775
Has specimen source	Has specimen source identity (SNOMED)	0	0	Specimen identity of	44818776
Has specimen morph	Has specimen source morphology (SNOMED)	0	0	Specimen morph of	44818777
Has specimen topo	Has specimen source topography (SNOMED)	0	0	Specimen topo of	44818778
Has specimen subst	Has specimen substance (SNOMED)	0	0	Specimen subst of	44818779
Has due to	Has due to (SNOMED)	0	0	Due to of	44818780
Has relat context	Has subject relationship context (SNOMED)	0	0	Relat context of	44818781
Has dose form	Has dose form (SNOMED)	0	0	Dose form of	44818782
Occurs after	Occurs after (SNOMED)	0	0	Occurs before	44818783
Has asso proc	Has associated procedure (SNOMED)	0	0	Asso proc of	44818784
Has dir proc site	Has direct procedure site (SNOMED)	0	0	Dir proc site of	44818785
Has indir proc site	Has indirect procedure site (SNOMED)	0	0	Indir proc site of	44818786
Has proc device	Has procedure device (SNOMED)	0	0	Proc device of	44818787
Has proc morph	Has procedure morphology (SNOMED)	0	0	Proc morph of	44818788
Has finding context	Has finding context (SNOMED)	0	0	Finding context of	44818789
Has proc context	Has procedure context (SNOMED)	0	0	Proc context of	44818790
Has temporal context	Has temporal context (SNOMED)	0	0	Temporal context of	44818791
Asso with finding	Associated with finding (SNOMED)	0	0	Finding asso with	44818792
Has surgical appr	Has surgical approach (SNOMED)	0	0	Surgical appr of	44818793
Using device	Using device (SNOMED)	0	0	Device used by	44818794
Using energy	Using energy (SNOMED)	0	0	Energy used by	44818795
Using subst	Using substance (SNOMED)	0	0	Subst used by	44818796
Using acc device	Using access device (SNOMED)	0	0	Acc device used by	44818797
Has clinical course	Has clinical course (SNOMED)	0	0	Clinical course of	44818798
Has route of admin	Has route of administration (SNOMED)	0	0	Route of admin of	44818799
Using finding method	Using finding method (SNOMED)	0	0	Finding method of	44818800
