vocabulary_id	vocabulary_name	vocabulary_reference	vocabulary_version	vocabulary_concept_id
Cohort Type	OMOP Cohort Type	OMOP generated		44819234
Cost Type	OMOP Cost Type	OMOP generated		5029
RxNorm Extension	RxNorm Extension (OMOP)	OMOP generated	RxNorm Extension 10-JAN-18	252
Specimen Type	OMOP Specimen Type	OMOP generated		581376
Cost	OMOP Cost	OMOP generated		581457
None	OMOP Standardized Vocabularies	OMOP generated	v5.0 09-FEB-18	44819096
SNOMED	Systematic Nomenclature of Medicine - Clinical Terms (IHTSDO)	http://www.nlm.nih.gov/research/umls/licensedcontent/umlsknowledgesources.html	SnomedCT Release 20180131	44819097
RxNorm	RxNorm (NLM)	http://www.nlm.nih.gov/research/umls/rxnorm/docs/rxnormfiles.html	RxNorm Full 20180205	44819104
UCUM	Unified Code for Units of Measure (Regenstrief Institute)	http://aurora.regenstrief.org/~ucum/ucum.html#section-Alphabetic-Index	Version 1.8.2	44819107
Gender	OMOP Gender	OMOP generated		44819108
Race	Race and Ethnicity Code Set (USBC)	http://www.cdc.gov/nchs/data/dvs/Race_Ethnicity_CodeSet.pdf	Version 1.0	44819109
Visit	OMOP Visit	OMOP generated		44819119
Drug Type	OMOP Drug Exposure Type	OMOP generated		44819126
Condition Type	OMOP Condition Occurrence Type	OMOP generated		44819127
Procedure Type	OMOP Procedure Occurrence Type	OMOP generated		44819128
Observation Type	OMOP Observation Type	OMOP generated		44819129
Ethnicity	OMOP Ethnicity	OMOP generated		44819134
Death Type	OMOP Death Type	OMOP generated		44819135
Note Type	OMOP Note Type	OMOP generated		44819146
Domain	OMOP Domain	OMOP generated		44819147
Obs Period Type	OMOP Observation Period Type	OMOP generated		44819149
Visit Type	OMOP Visit Type	OMOP generated		44819150
Device Type	OMOP Device Type	OMOP generated		44819151
Meas Type	OMOP Measurement Type	OMOP generated		44819152
Relationship	OMOP Relationship	OMOP generated		44819235
Vocabulary	OMOP Vocabulary	OMOP generated		44819232
Concept Class	OMOP Concept Class	OMOP generated		44819233
