subject,report_id,report_date,report_type,id,source,report_text
NCT00820222,ct_inc_531021,2018-10-25T00:00:00Z,Clinical Trial Inclusion Criteria,ct_inc_531021,AACT,"
 Inclusion Criteria:
 -  Females at least 18 years old;
 -  ECOG Performance Status 0-2;
 -  Histologically or cytologically confirmed HER2-positive invasive breast cancer, with
 Stage IV disease;
 -  Prior treatment with taxanes or anthracyclines is required;
 -  Prior treatment with other chemotherapeutic agents, trastuzumab, endocrine and radiation therapy is permitted;
 -  Baseline LVEF  50% and not lower than the institutional lower limit of normal;
 -  Concurrent treatment with bisphosphonates is permitted, however treatment must be initiated prior to the first dose of study therapy;
 -  Able to swallow and retain oral medications;
 -  Women with potential to have children must be willing to practice acceptable methods of birth control during the study;
 -  Normal organ and marrow function.
 "
NCT00820079,ct_inc_531031,2018-10-25T00:00:00Z,Clinical Trial Inclusion Criteria,ct_inc_531031,AACT,"
 Inclusion Criteria:
 -  diagnosis of typical GERD
 -  well controlled on a standard clinical symptoms controlled dose of PPI treatment
 -  body mass index 32 kg/m2
 "
NCT00820196,ct_inc_531022,2018-10-25T00:00:00Z,Clinical Trial Inclusion Criteria,ct_inc_531022,AACT,"
 Inclusion Criteria: 1. Diagnosis of venous leg ulceration 2. Ankle brachial index of > 0.80 measured during screening or within three months prior to the Day -14 visit. 3. Reference ulcer area greater than 1 cm2 and less than 25 cm2 4. Reference ulcer present for at least 4 weeks 5. Have an ankle circumference of greater than 18 cm 6. Male of female patients aged 18 years or over 7. Able to tolerate effective compression bandaging 8. Patients able to walk independently with or without mobility aids 9. Able and willing to give informed consent 10. Able and willing to attend all follow up visits
 "
NCT00820183,ct_inc_531023,2018-10-25T00:00:00Z,Clinical Trial Inclusion Criteria,ct_inc_531023,AACT,"
 Inclusion Criteria:
 -  Patients diagnosed with hypertension before January 1st, 2006
 -  Patients assigned at the primary health team participating, and with clinical electronic records
 "
NCT00820170,ct_inc_531024,2018-10-25T00:00:00Z,Clinical Trial Inclusion Criteria,ct_inc_531024,AACT,"
 Inclusion Criteria:
 -  Female or male patients with diagnosis of invasive adenocarcinoma of the breast confirmed at MSKCC.
 -  For the phase I portion, patients with any ER/PR/HER2 disease status, no longer eligible for hormonal therapy or HER2-targeted therapy, will be eligible.
 -  For the phase II portion, there needs to be documentation of negative HER2 (IHC 0-1+ or FISH/CISH negative) status. Patients with any ER/PR disease status are eligible.
 -  A paraffin-embedded tissue block or unstained slides from prior surgery must be available.
 -  Evidence of recurrent or progressive locally advanced or metastatic breast cancer.
 Presence of:
 -  For the phase I portion: at least one evaluable or measurable metastatic lesion ,
 -  For the phase II portion: at least one measurable metastatic lesion according to the
 RECIST criteria which has not been irradiated (i.e. newly arising lesions in previously irradiated areas are accepted). Ascites, pleural effusion, and bone metastases are not considered measurable. Minimum indicator lesion size: > or = to 10 mm measured by spiral CT or > or = to 20 mm measured by conventional techniques.
 Prior therapies:
 For the phase I portion: Any number of prior endocrine or biologic therapies is permitted .
 In addition, patients may be untreated in the metastatic setting or have received any number of prior cytotoxic regimens.
 For the phase II portion: 0-2 prior therapies for metastatic disease are allowed.
 Prior taxane therapy, either in the adjuvant or in the metastatic setting, either deliver weekly, q 2 weeks or q 3 weeks, will be permitted. Prior therapy with bevacizumab will be allowed. All previous chemotherapy, radiotherapy and intravenous biphosphonates must have been discontinued at least 3 weeks prior to study entry, 3 weeks also for trastuzumab and bevacizumab. All acute toxic effects (excluding alopecia) of any prior therapy must have resolved to NCI CTC (Version 3) Grade 1.
 -  Endocrine therapy with an aromatase inhibitor, SERM (ie, tamoxifen) or fulvestrant is permitted, however it must be discontinued before enrolling in the study.
 -  ECOG performance status of 0 or 1.
 -  Age > or = to 18 years old. Adequate Organ Function
 -  Total bilirubin  1.5 times the institutional Upper Limit of Normal (ULN)
 -  Hepatic enzymes (AST, ALT )  2.5 times the institutional ULN
 -  Serum Na, K+, Mg2+, Phosphate and Ca2+ Lower Limit of Normal (LLN)
 -  Serum Creatinine  1.5 time the institutional ULN
 -  Neutrophil count, Platelets, both Grade 0-1
 -  PT (INR) and PTT Grade 0-1, except for patients on Coumadin or low molecular weight heparin
 -  Ability to take oral medication (dasatinib must be swallowed whole)
 Concomitant Medications:
 -  Patient agrees to discontinue St. Johns Wort while receiving dasatinib therapy
 -  Patient agrees that IV biphosphonates will be withheld for the first 8 weeks of dasatinib therapy due to risk of hypocalcemia. Concomitant Medications, any of the following should be considered for exclusion:
 Patient agrees to discontinue QT-prolonging agents strongly associated with Torsades de
 Pointes including: (patients must discontinue drug  7 days prior to starting dasatinib) such as:
 -  quinidine, procainamide, disopyramide
 -  amiodarone, sotalol, ibutilide, dofetilide
 -  erythromycin, clarithromycin
 -  chlorpromazine, haloperidol, mesoridazine, thioridazine, pimozide
 -  cisapride, bepridil, droperidol, methadone, arsenic, chloroquine, domperidone, halofantrine, levomethadyl, pentamidine, sparfloxacin, lidoflazine.
 -  The concomitant use of H2 blockers or proton pump inhibitors with dasatinib is not recommended. The use of antacids should be considered in place of H2 blockers or proton pump inhibitors in patients receiving dasatinib therapy. If antacid therapy is needed, the antacid dose should be administered at least 2 hours prior to or 2 hours after the dose of dasatinib.
 -  Patient may not be receiving any potent CYP3A4 inhibitors. These are prohibited (patients must discontinue drug 7 days prior to starting dasatinib) and include:
 -  itraconazole, ketoconazole, miconazole, coriconazole
 -  amprenavir, atazanavir, fosamprenavir, indinavir, nelfinavir, ritonavir
 -  ciprofloxacin, clarithromycin, diclofenac, doxycycline, enoxacin, imatinib, isoniazid
 -  ketamine, nefazodone, nicardipine, propofol, quinidine, telithromycin
 Women of childbearing potential (WOCBP) must have:
 -  A negative serum or urine pregnancy test within 72 hours prior to the start of study drug administration
 -  Persons of reproductive potential must agree to use an adequate method of contraception throughout treatment and for at least 4 weeks after study drug is stopped
 -  Pregnant or nursing women may not participate. Patients of reproductive potential may not participate unless they have agreed to use an effective method of contraception and to continue contraception for 30 days from the date of the last study drug administration. Postmenopausal woman must be amenorrheic for at least 12 months to be considered of non-childbearing potential.
 -  Signed written informed consent including a HIPAA form according to institutional guidelines.
 "
NCT00820157,ct_inc_531025,2018-10-25T00:00:00Z,Clinical Trial Inclusion Criteria,ct_inc_531025,AACT,"
 Inclusion Criteria:
 -  Male or female patients > 18 years and <=70 years of age.
 -  at least 2 radiologic imaging showing characteristic features of HCC or one radiologic imaging associated with AFP 400 or cytologic/histologic evidence.
 -  tumor number >3 and <=5,maximum diameter >5cm and <=15cm;without evidence of radiologically definable vascular invasion or extrahepatic metastasis.
 -  Criteria of liver function: Child A-B level, serum bilirubin  1.5 times the upper limit of normal value,alanine aminotransferase and aspartate aminotransferase  2 times the upper limit of normal value.
 -  No dysfunction in major organs; Blood routine, kidney function, cardiac function and lung function are basically normal.
 -  Hb 90g/L,WBC 3.000 cells/mm,platelets 80.000 cells/mm
 -  Patients who can understand this trial and have signed information consent
 "
NCT00820144,ct_inc_531026,2018-10-25T00:00:00Z,Clinical Trial Inclusion Criteria,ct_inc_531026,AACT,"
 Inclusion Criteria:
 -  Adult male between 18 and 50 years,
 -  Adult female aged 18 to 50 years under oral contraception (pill) for at least 6 months, or IUD for at least 6 under, and agreeing to carry out a pregnancy test during the initial clinical visit
 -  Affiliate or entitled to Social Security
 -  Signing the informed consent of the volunteer
 "
NCT00820131,ct_inc_531027,2018-10-25T00:00:00Z,Clinical Trial Inclusion Criteria,ct_inc_531027,AACT,"
 Inclusion Criteria:
 -  primary unilateral inguinal hernia
 -  18 years and older
 "
NCT00820118,ct_inc_531028,2018-10-25T00:00:00Z,Clinical Trial Inclusion Criteria,ct_inc_531028,AACT,"
 Inclusion Criteria:
 -  adult confirmed HIV-1 infection
 -  no previous treatment with antiretroviral drugs or interleukin-2
 -  CD4 count  500/mm3
 -  no active opportunistic infection
 -  written informed consent
 "
NCT00820105,ct_inc_531029,2018-10-25T00:00:00Z,Clinical Trial Inclusion Criteria,ct_inc_531029,AACT,"
 Inclusion Criteria:
 -  Male and female patients aged 18 to 65 years
 -  History of migraine
 -  Aged  50 years at onset of migraine history
 "
